latency,retransmission,bandwidth,label
0.000012,0,12524790,wired
0.000013,0,12524790,wired
0.000012,0,12397524,wired
0.000015,0,11905344,wired
0.000012,0,12524832,wired
0.000031,0,12525978,wired
0.000195,0,12526122,wired
0.000012,0,12524300,wired
0.000012,0,12523718,wired
0.000012,0,12524850,wired
0.000012,0,12524850,wired
0.000012,0,12524850,wired
0.000013,0,12523482,wired
0.000031,0,10907787,wired
0.000023,0,12526230,wired
0.000016,0,10510140,wired
0.000024,0,2748534,wired
0.000022,0,1499112,wired
0.000025,0,8707560,wired
0.000015,0,12524670,wired
0.000014,0,12524790,wired
0.000020,0,12524790,wired
0.000015,0,12524730,wired
0.000013,0,9823704,wired
0.000017,0,12524790,wired
0.000016,0,12524850,wired
0.000014,0,12523364,wired
0.000015,0,12524622,wired
0.000014,0,12525267,wired
0.000014,0,12524287,wired
0.000015,0,12524730,wired
0.000036,0,12523999,wired
0.000014,0,956592,wired
0.000000,0,0,wired
0.000000,0,0,wired
0.000000,0,0,wired
0.024720,445,8232982,wired
0.082002,1645,12763836,wired
0.002784,38,12526146,wired
0.000021,0,12524730,wired
0.000016,0,12524832,wired
0.000020,0,12524964,wired
0.000015,0,12524730,wired
0.000015,0,12524730,wired
0.000038,0,12351582,wired
0.000015,0,12522894,wired
0.000027,0,12475554,wired
0.000015,0,12524202,wired
0.000015,0,12523766,wired
0.000014,0,12524790,wired
0.000015,0,12524790,wired
0.000028,0,12524890,wired
0.000014,0,12523394,wired
0.000015,0,12525040,wired
0.000014,0,12525378,wired
0.000041,0,12505703,wired
0.000015,0,12430379,wired
0.000014,0,12525425,wired
0.000015,0,12525425,wired
0.000015,0,12524796,wired
0.000015,0,12523326,wired
0.000015,0,12524836,wired
0.000014,0,6527460,wired
0.000015,0,5397792,wired
0.000014,0,12524952,wired
0.000014,0,12175312,wired
0.000015,0,12524469,wired
0.000014,0,12524469,wired
0.000014,0,12524790,wired
0.000015,0,12523548,wired
0.000014,0,12524670,wired
0.000014,0,12524000,wired
0.000015,0,12524730,wired
0.000014,0,12524674,wired
0.000014,0,12523986,wired
0.000015,0,10148580,wired
0.000025,0,12116994,wired
0.000013,0,12524676,wired
0.000012,0,12524557,wired
0.000012,0,12524610,wired
0.000012,0,12524730,wired
0.000012,0,12524910,wired
0.000012,0,12524730,wired
0.000012,0,12524790,wired
0.000019,0,11894640,wired
0.000029,0,4338462,wired
0.000017,0,9720690,wired
0.000016,0,12524262,wired
0.000015,0,12524892,wired
0.000015,0,12524796,wired
0.000014,0,12523224,wired
0.000014,0,12525386,wired
0.000014,0,12524790,wired
0.000014,0,12523162,wired
0.000015,0,12522948,wired
0.000014,0,12524850,wired
0.000016,0,9745488,wired
0.000018,0,12525438,wired
0.000014,0,12524790,wired
0.000014,0,12524850,wired
0.000018,0,4666344,wired
0.000028,0,2998572,wired
0.000027,0,6694644,wired
0.000021,0,12524730,wired
0.000022,0,12524790,wired
0.000014,0,12523344,wired
0.000014,0,9684228,wired
0.000018,0,12524790,wired
0.000014,0,12524670,wired
0.000014,0,12525714,wired
0.000014,0,12524670,wired
0.000014,0,12524610,wired
0.000014,0,12524772,wired
0.000014,0,12523344,wired
0.000014,0,12525031,wired
0.000034,0,8491700,wired
0.000022,0,6464634,wired
0.000026,0,9652488,wired
0.000062,0,12524790,wired
0.000063,0,12236250,wired
0.000155,1,12525396,wired
0.000016,0,12524850,wired
0.000015,0,12524790,wired
0.000015,0,12524730,wired
0.000014,0,12524832,wired
0.000015,0,12523284,wired
0.000015,0,12526236,wired
0.000015,0,12524736,wired
0.000015,0,12523398,wired
0.000016,0,9644256,wired
0.000028,0,12526236,wired
0.000024,0,6935292,wired
0.000014,0,11829678,wired
0.000014,0,12524790,wired
0.000014,0,12524730,wired
0.000014,0,12524730,wired
0.000015,0,12525267,wired
0.000015,0,12523443,wired
0.000015,0,12524676,wired
0.000015,0,11484421,wired
0.000016,0,10671954,wired
0.000013,0,12524730,wired
0.000013,0,12524610,wired
0.000112,0,12526779,wired
0.000394,1,12529661,wired
0.000135,0,12530196,wired
0.000013,0,12524790,wired
0.000013,0,12524670,wired
0.000013,0,12524886,wired
0.000012,0,12524736,wired
0.000018,0,9719340,wired
0.000014,0,12524154,wired
0.000013,0,12524850,wired
0.000013,0,12524904,wired
0.000013,0,9096955,wired
0.000068,0,12524850,wired
0.000012,0,12523826,wired
0.000013,0,12524790,wired
0.000012,0,12524722,wired
0.000082,1,12526519,wired
0.000017,0,9646134,wired
0.000015,0,12524850,wired
0.000016,0,12525378,wired
0.000015,0,12524730,wired
0.000015,0,12524892,wired
0.000070,0,12521791,wired
0.000022,0,12277884,wired
0.000021,0,11453016,wired
0.000029,0,1499112,wired
0.000017,0,11313780,wired
0.000015,0,10715850,wired
0.000029,0,11477664,wired
0.000023,0,12524998,wired
0.000015,0,12524494,wired
0.000014,0,12524610,wired
0.000071,0,12524396,wired
0.000015,0,12524025,wired
0.000041,0,12525665,wired
0.000015,0,12525305,wired
0.000015,0,12524730,wired
0.000015,0,12523272,wired
0.000014,0,9679474,wired
0.000013,0,12524736,wired
0.000013,0,12524730,wired
0.000012,0,12524952,wired
0.000068,0,12524099,wired
0.000014,0,12524830,wired
0.000013,0,12524730,wired
0.000012,0,12524790,wired
0.000013,0,12524736,wired
0.000013,0,12524784,wired
0.000016,0,9633120,wired
0.000012,0,12524790,wired
0.000012,0,12523330,wired
0.000013,0,12524736,wired
0.000013,0,12524497,wired
0.000074,0,12524892,wired
0.000018,0,12523886,wired
0.000014,0,12524670,wired
0.000015,0,12524730,wired
0.000014,0,12524790,wired
0.000015,0,9676536,wired
0.000040,0,12523354,wired
0.000014,0,12524736,wired
0.000041,0,12525024,wired
0.000126,0,12523979,wired
0.000015,0,12524967,wired
0.000015,0,12524772,wired
0.000014,0,12524772,wired
0.000016,0,12524790,wired
0.000015,0,12524730,wired
0.000015,0,12524616,wired
0.000016,0,9624246,wired
0.000023,0,12524736,wired
0.000013,0,12524784,wired
0.000013,0,12524736,wired
0.000013,0,12523940,wired
0.000013,0,12524328,wired
0.000013,0,12060372,wired
0.000014,0,12523002,wired
0.000013,0,12524778,wired
0.000013,0,12523344,wired
0.000019,0,9667218,wired
0.000020,0,12524003,wired
0.000019,0,12525515,wired
0.000015,0,12524844,wired
0.000016,0,12524136,wired
0.000015,0,12524790,wired
0.000015,0,12523818,wired
0.000015,0,12524790,wired
0.000016,0,12524730,wired
