VIRT,CPU,RAM
4649264,100.0,52.5
4653852,100.0,52.6
4659964,88.9,52.7
4666760,94.1,52.8
4673372,100.0,52.9
4679208,83.3,52.9
4685068,88.9,53.0
4691880,94.4,53.1
4698476,100.0,53.2
4704936,100.0,53.3
4709328,100.0,53.3
4712616,87.5,53.4
4726248,100.0,53.5
4732904,100.0,53.5
4737512,100.0,53.6
4750816,93.8,53.8
4757664,100.0,53.9
4763492,94.1,53.9
4767696,100.0,54.0
4773008,100.0,54.1
4777704,88.9,54.1
4783260,88.9,54.2
4789816,100.0,54.3
4796068,93.8,54.4
4802612,94.4,54.5
4808388,82.4,54.5
4813632,100.0,54.6
4817816,94.1,54.7
4821572,100.0,54.7
4833192,47.6,54.8
4836052,50.0,54.8
4840492,82.4,54.9
4846220,100.0,54.9
4850712,100.0,55.0
4855156,100.0,55.0
4860144,62.5,55.1
4865768,82.4,55.2
4868768,68.8,55.2
4871744,100.0,55.3
4876552,88.2,55.3
4880064,88.2,55.4
4883472,100.0,55.4
4887840,70.6,55.5
4908444,82.4,55.8
4912336,94.1,55.8
4914564,88.2,55.8
4915976,100.0,55.9
4917812,93.8,55.9
4920836,87.5,55.9
4924112,56.2,56.0
4931784,100.0,56.1
4943808,62.5,56.1
4951956,93.8,56.2
4955812,100.0,56.3
4958936,94.1,56.3
4960512,87.5,56.3
4961488,11.8,56.3
4963480,100.0,56.4
4965580,100.0,56.4
4968332,100.0,56.4
4970560,87.5,56.5
4973900,100.0,56.5
4976160,100.0,56.5
4979588,100.0,56.6
4984876,100.0,56.6
4989456,43.8,56.7
4993464,100.0,56.7
4998076,61.1,56.8
5000808,94.1,56.8
5004244,100.0,56.8
5007332,70.6,56.9
5009800,68.8,56.9
5012564,73.7,56.9
5015540,56.2,56.9
5018352,94.1,56.9
5021764,100.0,56.9
5024908,43.8,56.9
5029164,100.0,56.9
5032712,100.0,56.9
5034848,88.9,56.9
5036700,100.0,56.9
5040168,31.2,56.9
5055784,100.0,57.0
5059800,88.9,57.1
5061868,100.0,57.0
5064544,68.8,57.0
5066868,88.2,57.0
5070012,100.0,57.0
5073368,100.0,57.1
5076392,100.0,57.1
5079460,100.0,57.1
5081544,100.0,57.1
5085220,100.0,57.1
5089048,100.0,57.1
5092176,88.2,57.2
5095236,94.1,57.2
5097124,47.4,57.3
5099708,33.3,57.3
5102688,100.0,57.3
5105556,93.8,57.3
5108316,55.0,57.4
5109976,93.8,57.4
5112216,68.8,57.4
5114488,93.8,57.5
5116848,100.0,57.5
5118988,93.8,57.5
5121820,56.2,57.5
5124344,100.0,57.6
5126476,100.0,57.6
5129044,68.8,57.6
5131488,100.0,57.7
5134432,100.0,57.7
5135312,100.0,57.7
5137040,87.0,57.6
5138156,68.8,57.7
5140712,93.8,57.7
5142692,100.0,57.7
5147604,94.1,57.7
5149904,56.2,57.7
5152644,100.0,57.7
5156056,100.0,57.8
5167748,100.0,57.8
5169160,29.4,57.8
5170708,18.8,57.8
5174004,31.2,57.8
5177332,93.8,57.8
5179584,88.9,57.9
5182244,93.8,57.9
5186016,100.0,57.8
5187976,70.6,57.8
5191392,47.1,57.9
5194272,100.0,57.9
5198492,80.0,57.9
5202756,100.0,57.9
5206128,81.2,57.9
5208424,93.8,57.9
5211440,75.0,58.0
5214300,70.0,58.0
5217640,100.0,58.0
5220808,63.2,58.1
5223504,68.8,58.1
5226192,100.0,58.1
5230068,94.4,58.2
5233008,100.0,58.2
5236548,70.6,58.2
5239192,100.0,58.3
5242604,76.5,58.3
5247132,100.0,58.4
5249984,58.8,58.4
5252392,72.2,58.5
5255220,94.1,58.5
5257020,100.0,58.5
5260140,100.0,58.6
5262956,25.0,58.6
5266104,100.0,58.6
5277776,100.0,58.7
5281264,100.0,58.7
5283512,72.2,58.8
5285600,87.5,58.8
5289036,94.1,58.8
5292360,82.4,58.9
5294512,57.9,58.9
5296984,100.0,58.8
5299292,93.8,58.9
5302220,100.0,58.9
5306928,100.0,58.9
5308520,60.0,58.9
5310256,93.8,58.9
5312664,88.2,58.9
5315272,94.1,58.9
5317420,100.0,58.9
5320420,93.8,59.0
5323304,75.0,59.0
5325088,89.5,59.0
5328060,31.2,59.1
5332144,94.1,59.1
5336264,83.3,59.2
5338796,100.0,59.2
5342144,53.3,59.2
5343988,87.5,59.2
5345824,85.0,59.2
5349012,100.0,59.3
5351316,100.0,59.3
5353448,100.0,59.3
5355740,88.9,59.4
5357120,100.0,59.4
5359236,100.0,59.4
5361992,100.0,59.4
5363748,100.0,59.5
5365324,33.3,59.5
5367996,68.4,59.5
5370984,100.0,59.5
5372500,25.0,59.6
5373640,100.0,59.6
5375220,43.8,59.6
5377212,80.0,59.6
5379652,100.0,59.6
5383272,100.0,59.7
5394736,100.0,59.7
5397360,100.0,59.8
5399856,93.8,59.8
5402292,100.0,59.8
5405292,94.1,59.9
5407336,73.9,59.9
5410020,81.2,59.9
5411952,82.4,59.9
5413608,94.1,60.0
5417208,82.4,60.0
5419728,47.1,60.0
5421716,81.2,60.1
